Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,,,
29384,4/11/2023,Bank of America,Electronic,Yes,1,Yes,,,,Yes,,,,,
29387,4/11/2023,"David Decker, CPA",Electronic,,85,Yes,Yes,,,Yes,,,,,
29388,4/12/2023,Brigham and Women's Hospital,Electronic,Yes,1,Yes,,,,Yes,,,,,
29389,4/12/2023,"Unlimited Care, Inc.",Electronic,Yes,38,Yes,,,,Yes,,,,,
29390,4/12/2023,Pennsylvania College of Technology,Paper,Yes,17,Yes,,,,Yes,,,,,
29392,4/12/2023,Green America,Electronic,,15,Yes,,,,Yes,,,,,
29393,4/12/2023,Schrader Pacific Advanced Valves,Electronic,Yes,1,Yes,,,,Yes,,,,,
29394,4/12/2023,kW Mission Critical Engineering,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29385,4/12/2023,"Integreon, Inc.",Electronic,Yes,4,Yes,,,,Yes,,,,,
29395,4/13/2023,Uponor North America,Electronic,Yes,16,Yes,,,,Yes,,,,,
29396,4/13/2023,Mercy Ships,Electronic,Yes,1,Yes,,,,Yes,,,,,
29397,4/13/2023,"JPMorgan Chase Bank, N.A.",Paper,,1,,,,Yes,,,,,,
29398,4/13/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29399,4/13/2023,Trustees of Boston University,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29400,4/13/2023,American Humane Association,Electronic,Yes,1,Yes,,,,Yes,,,,,
29401,4/13/2023,State Street Corporation,Electronic,Yes,1,Yes,,,,Yes,,,,,
29391,4/13/2023,University of the People,Electronic,Yes,76,Yes,Yes,Yes,,Yes,,,,,
29402,4/14/2023,"Yum! Brands, Inc.",Electronic,Yes,1602,Yes,,Yes,,Yes,,,,,
29403,4/14/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29404,4/14/2023,Main Street Bank,Electronic,,3,,Yes,,Yes,,,,,,
29405,4/14/2023,Main Street Bank,Electronic,,1,,Yes,,Yes,,,,,,
29406,4/14/2023,"Tisdal & O'Hara, PLLC",Electronic,,5,Yes,,Yes,,Yes,,,,,
29407,4/14/2023,Richey May and Co. L.L.P.,Electronic,Yes,1,Yes,,,,Yes,,,,,
29414,4/14/2023,Hoosier Racing Tire Corp.,Electronic,,26,,,,Yes,Yes,,,,,
29415,4/14/2023,Encino Energy LLC,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
29416,4/14/2023,"Cleo Communications US, LLC",Electronic,Yes,4,Yes,,,,Yes,,,,,
29409,4/17/2023,Virginia Partners Bank,Electronic,Yes,8,Yes,,Yes,,Yes,,,,,
29410,4/17/2023,"Traditions Bancorp, Inc.",Electronic,Yes,21,Yes,Yes,Yes,Yes,Yes,,,,,
29411,4/17/2023,NewBridge Services Inc.,Electronic,Yes,4,Yes,,,,Yes,,,,,
29412,4/17/2023,Kimco Realty Corporation,Electronic,Yes,4,Yes,Yes,Yes,,Yes,,,,,
29417,4/18/2023,n2y,Electronic,Yes,6,Yes,Yes,,,Yes,,,,,
29418,4/18/2023,Nonstop Administration and Insurance Services,Electronic,,4,Yes,,,,Yes,,,,,
29419,4/18/2023,"Just Play, LLC",Electronic,Yes,8,Yes,Yes,Yes,,Yes,,,,,
29420,4/18/2023,Bryant Bank,Electronic,Yes,23,Yes,Yes,,,Yes,,,,,
29421,4/18/2023,"Huntington Ingalls Industries, Inc.",Electronic,Yes,246,Yes,Yes,Yes,Yes,Yes,,,,,
29422,4/18/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29423,4/18/2023,Raymond James,Electronic,Yes,1,,Yes,,,Yes,,,,,
29408,4/18/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29424,4/19/2023,"Rubino & Company, Chartered",Electronic,Yes,7,Yes,,,,Yes,,,,,
29425,4/20/2023,Flexible Benefit Service LLC,Paper,Yes,1,Yes,,,,Yes,,,,,
29426,4/20/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29427,4/20/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29428,4/20/2023,"NationsBenefits Holdings, LLC",Electronic,,1339,Yes,,Yes,,Yes,,,,,
29429,4/20/2023,Mother's Milk Bank of North Texas,Electronic,,20,Yes,Yes,Yes,,Yes,,,,,
29433,4/20/2023,"Sun Pharmaceutical Industries, Inc.",Electronic,Yes,223,Yes,,Yes,,Yes,,,,,
29438,4/20/2023,"BISSELL, Inc.",Electronic,,3,Yes,,,,,,,,,
29439,4/20/2023,"Sempermed USA, Inc.",Electronic,Yes,6,Yes,,,,Yes,,,,,
29440,4/20/2023,Immaculata University,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29441,4/20/2023,One Brooklyn Health System,Electronic,Yes,200,Yes,,,,Yes,,,,,
29249,4/20/2023,Raymond James Financial,Paper,,1,,Yes,,,Yes,,,,,
29442,4/21/2023,"D'amato Conversano, Inc., P.C., d/b/a DCI Engineers",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
29443,4/21/2023,"Drummond Woodsum & MacMahon, PA",Electronic,Yes,3,Yes,,Yes,,Yes,,,,,
29444,4/21/2023,"Albertsons Companies, Inc.",Electronic,Yes,187,Yes,Yes,Yes,,Yes,,,,,
29445,4/21/2023,"CIC Group, Inc.",Electronic,Yes,7,Yes,,Yes,,Yes,,,,,
29446,4/21/2023,"CorrectCare Integrated Health, LLC",Electronic,Yes,8,Yes,,,,Yes,,,,,
29447,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29448,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29449,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29450,4/21/2023,"CorrectCare Integrated Health, LLC",Electronic,Yes,8,Yes,,,,Yes,,,,,
29434,4/21/2023,Mutual One Bank,Electronic,,1,,,,,Yes,,,,,
29435,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29436,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29437,4/21/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29430,4/21/2023,"Kainos Capital, LP",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29431,4/21/2023,WRNS Studio,Electronic,Yes,8,Yes,,,,Yes,,,,,
29432,4/21/2023,"Taro Pharmaceuticals U.S.A., Inc.",Electronic,Yes,3,Yes,,Yes,,Yes,,,,,
29466,4/21/2023,Massachusetts Department of Revenue,Electronic,,4,Yes,,,,Yes,,,,,
29451,4/22/2023,Livingston International Inc.,Electronic,,23,Yes,,,,Yes,,,,,
29452,4/23/2023,Alaska Railroad Corporation,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29453,4/24/2023,American Marketing Group Inc.,Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,,,,
29454,4/24/2023,"KANE Construction, Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29455,4/24/2023,HSBC,Electronic,Yes,7,,Yes,,,Yes,,,,,
29456,4/24/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
29457,4/24/2023,"Silver Hill Hospital, Inc.",Paper,Yes,4,,,,Yes,Yes,,Yes,,,
29458,4/24/2023,WINCHESTER SAVINGS BANK,Electronic,,25,,,,Yes,,,,,,
29459,4/24/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
29460,4/24/2023,DignityUSA,Electronic,Yes,3,Yes,Yes,Yes,Yes,Yes,,,,,
29461,4/24/2023,Napleton Automotive Group,Electronic,Yes,2,Yes,,Yes,,Yes,,,,,
29462,4/24/2023,Mars Area School District,Electronic,Yes,3,Yes,,,,Yes,,,,,
29463,4/24/2023,"IMA Financial Group, Inc.",Electronic,Yes,191,Yes,,Yes,,Yes,,,,,
29465,4/24/2023,Eastern Bank,Electronic,,116,,Yes,,Yes,,,,,,
29477,4/24/2023,Massachusetts Department of Revenue,Paper,,1,Yes,,,,Yes,,,,,
29472,4/25/2023,"Astral Brands, Inc.",Electronic,Yes,16,Yes,Yes,Yes,,Yes,,,,,
29473,4/25/2023,"StaffScapes, Inc.",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29474,4/25/2023,"GranQuartz, LP",Electronic,Yes,21,,,,Yes,,,,,,
29475,4/25/2023,"LaborLawCenter, Inc.",Electronic,Yes,296,,,,Yes,,,,,,
29467,4/25/2023,Autocam Medical,Electronic,Yes,2,Yes,,,,Yes,,,,,
29468,4/25/2023,"Soliant Health, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
29469,4/25/2023,The Village Bank,Electronic,,3,,,,Yes,,,,,,
29464,4/25/2023,Bank of America,Electronic,Yes,2,Yes,,,,Yes,,,,,
29470,4/26/2023,TD Bank N.A,Paper,Yes,1,,Yes,,,Yes,,,,,
29471,4/26/2023,Salem Five Cents Savings Bank,Electronic,,4,,,,Yes,,,,,,
29478,4/26/2023,"NYSARC, Inc. Columbia County Chapter dba COARC",Electronic,Yes,27,Yes,Yes,,,Yes,,,,,
29479,4/26/2023,Massachusetts Mutual Life Insurance Company,Electronic,Yes,4,,,,,Yes,,,,,
29480,4/26/2023,"Carrington Mortgage Services, LLC",Electronic,,4167,,Yes,,,Yes,,,,,
29482,4/26/2023,The Cooperative Bank of Cape Cod,Electronic,,211,,,,Yes,,,,,,
29481,4/27/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29484,4/27/2023,Florida State Fair Authority,Electronic,Yes,2,Yes,,,,Yes,,,,,
29485,4/27/2023,Leader Bank,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29486,4/27/2023,"Arroyo Insurance Services, Inc.",Electronic,Yes,1,,,Yes,,Yes,,,,,
29487,4/27/2023,"Kaufman, Drozdowski & Grendell, LLC",Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29488,4/27/2023,Brigham and Women's Hospital,Both,Yes,1,,,,,,,,,,
29489,4/27/2023,nbkc Bank,Electronic,Yes,23,Yes,Yes,Yes,Yes,Yes,,,,,
29490,4/27/2023,Dayton Superior Corporation,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29491,4/27/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29492,4/28/2023,Eagle Bank,Electronic,,1,,,,Yes,,,,,,
29493,4/28/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29494,4/28/2023,Lemuel Shattuck Hospital,Electronic,,2,Yes,,,,,,,,,
29495,4/28/2023,"Booth & Cook, PA",Electronic,Yes,2,Yes,,,,Yes,,,,,
29496,4/28/2023,The Village Bank,Electronic,,1,,Yes,,Yes,,,,,,
29497,4/28/2023,T-Mobile USA,Electronic,Yes,17,Yes,,Yes,,Yes,,,,,
29498,4/28/2023,Yellow Pages Digital & Media Solutions Limited,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29499,4/28/2023,Berlin Packaging L.L.C.,Electronic,Yes,69,Yes,Yes,Yes,,Yes,,,,,
29500,4/28/2023,"Oxenham Group, LLC",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29501,4/28/2023,Humanity & Inclusion (Handicap International),Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29502,4/28/2023,"JPMorgan Chase Bank, N.A.",Paper,Yes,1,,Yes,,,,,,,,
29503,4/28/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29483,4/28/2023,WINCHESTER SAVINGS BANK,Electronic,,7,,,,Yes,,,,,,
29504,4/29/2023,Cadence Innovations Group,Electronic,Yes,3,Yes,,Yes,,Yes,,,,,
29505,5/1/2023,Heineken USA Incorporated,Both,Yes,1,Yes,,,,Yes,,Yes,,,
29506,5/1/2023,Webster Five Cent Savings Bank,Electronic,,0,,,,Yes,,,,,,
29507,5/1/2023,"Weldin Supplies from IOC and Weld My Ride by IOC, Subsidiaries of Indiana Oxygen Company",Electronic,Yes,138,,,,Yes,,,,,,
29509,5/1/2023,Worldwide TechServices,Electronic,Yes,10,Yes,,,,Yes,,,,,
29510,5/1/2023,Leo Hamel Fine Jewelers,Electronic,Yes,2,Yes,,,,Yes,,,,,
29511,5/2/2023,Kerecis LLC,Electronic,Yes,3,Yes,,,,Yes,,,,,
29512,5/2/2023,Adams Community Bank,Electronic,,4,,,,Yes,,,,,,
29513,5/2/2023,Eagle Bank,Electronic,,1,,,,Yes,,,,,,
29514,5/2/2023,Salem Five Cents Savings Bank,Electronic,,15,,,,Yes,,,,,,
29515,5/2/2023,Capital One,Paper,Yes,1,Yes,Yes,,,Yes,,,,,
29516,5/2/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29517,5/2/2023,"Summitt Trucking, LLC",Electronic,Yes,4,Yes,,,,Yes,,,,,
29518,5/2/2023,"EG America, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
29519,5/2/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29520,5/2/2023,Main Street Bank,Paper,,1,,,,Yes,,,,,,
29521,5/2/2023,Main Street Bank,Paper,,3,,,,Yes,,,,,,
29522,5/2/2023,SAVERS BANK,Electronic,,2,,,,Yes,,,,,,
29524,5/2/2023,"NextGen Healthcare, Inc.",Electronic,Yes,16228,Yes,,,,Yes,,,,,
29525,5/2/2023,Business Outreach Center Network,Electronic,Yes,4,Yes,,,,Yes,,,,,
29526,5/2/2023,"Carvin Software, LLC",Electronic,Yes,10201,Yes,Yes,,,Yes,,,,,
29527,5/2/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29528,5/2/2023,"Optima Tax Relief, LLC",Electronic,Yes,44,Yes,,,,Yes,,,,,
29508,5/2/2023,"Pinnacle Propane, LLC",Electronic,Yes,19,Yes,Yes,Yes,,Yes,,,,,
29529,5/3/2023,"Erie County, Pennsylvania",Electronic,,2,Yes,,Yes,,Yes,,,,,
29536,5/3/2023,"Fannin County, Georgia",Electronic,Yes,1,,,Yes,,Yes,,,,,
29532,5/3/2023,The Metropolitan Opera,Electronic,Yes,1480,Yes,Yes,Yes,Yes,Yes,,,,,
29533,5/3/2023,"Richards Industrials, Inc.",Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29534,5/4/2023,Copia Scientific LLC,Electronic,Yes,203,Yes,Yes,Yes,Yes,Yes,,,,,
29535,5/4/2023,Bishop Gadsden Episcopal Retirement Community,Electronic,Yes,2,,Yes,,,Yes,,,,,
29537,5/4/2023,Cape Cod Five,Paper,Yes,2,,,,Yes,,,,,,
29538,5/4/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,,,,
29539,5/4/2023,"Miyoshi America, Inc.",Electronic,Yes,12,Yes,,Yes,,Yes,,,,,
29540,5/4/2023,"McPherson Hospital, Inc.",Electronic,Yes,4,Yes,,Yes,,Yes,,,,,
29530,5/4/2023,Watertown Savings Bank,Electronic,,4,,,,Yes,,,,,,
29531,5/4/2023,Salem Five Cents Savings Bank,Electronic,Yes,1,,Yes,,,,,,,,
29541,5/5/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29542,5/5/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29543,5/5/2023,Cotton Incorporated,Electronic,Yes,1,Yes,,,,Yes,,,,,
29544,5/5/2023,"RoadSafe Traffic Systems, Inc.",Electronic,Yes,304,Yes,Yes,,,Yes,,,,,
29545,5/5/2023,"loanDepot, Inc.",Electronic,Yes,6,Yes,,,,,,,,,
29546,5/5/2023,Winchester Savings Bank,Electronic,,6,,,,Yes,,,,,,
29547,5/5/2023,KTBS LLC,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
29550,5/5/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29551,5/5/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29552,5/5/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29553,5/5/2023,Haley Wealth Management,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
29554,5/5/2023,"Charter Foods North, LLC",Undefined,Yes,4474,Yes,,,,Yes,,,,,
29548,5/8/2023,GoHenry Ltd.,Electronic,Yes,75,,,,Yes,,,,,,
29549,5/8/2023,Bank of America,Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
29556,5/8/2023,"Deerfield Imaging Holdings, Inc.",Electronic,Yes,5,Yes,,,,Yes,,,,,
29557,5/8/2023,"Naulty, Scaricamazza & McDevitt, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
29558,5/8/2023,"PRGX Global, Inc.",Electronic,Yes,90,Yes,Yes,,Yes,Yes,,,,,
29559,5/8/2023,"Procurri, LLC",Electronic,Yes,209,Yes,,,,Yes,,,,,
29560,5/8/2023,"Ideal Innovations, Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29561,5/9/2023,Bristol Community College,Electronic,Yes,40807,Yes,Yes,Yes,Yes,Yes,,,,,
29562,5/9/2023,"Wingra Direct, LLC",Electronic,Yes,5,,,,Yes,Yes,,,,,
29563,5/9/2023,"Pellegrino, Saccomani & Wells, LLP",Electronic,Yes,3,Yes,,,,Yes,,,,,
29564,5/9/2023,"OsteoRemedies, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
29566,5/9/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29567,5/9/2023,Workmen's Circle Credit Union,Electronic,Yes,6,Yes,Yes,Yes,,Yes,,,,,
29574,5/9/2023,EKF Management Corporation,Electronic,Yes,1,Yes,,,,Yes,,,,,
29555,5/9/2023,Eastern Bank,Electronic,,404,,Yes,,Yes,,,,,,
29576,5/10/2023,"Amtel, LLC",Electronic,,60,Yes,,,,Yes,,,,,
29577,5/10/2023,"Brightline, Inc.",Electronic,,137,Yes,,,,Yes,,,,,
29578,5/10/2023,"Kinetic Investment Management, Inc.",Electronic,,4,Yes,,,,Yes,,,,,
29568,5/10/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29569,5/10/2023,Mutual One Bank,Electronic,,1,,Yes,,,Yes,,,,,
29570,5/10/2023,Veridian Credit Union,Electronic,,268,Yes,Yes,,,Yes,,,,,
29573,5/10/2023,The Washington Trust Company,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
29565,5/10/2023,"Wells Fargo Bank, N.A.",Paper,Yes,1,,,,Yes,Yes,,,,,
29571,5/11/2023,"CHSPSC, LLC",Electronic,,276,Yes,,,,Yes,,,,,
29572,5/11/2023,Mutual One Bank,Electronic,,1,,,,,,,,,,
29579,5/11/2023,Rockland Trust,Electronic,,1,,Yes,,,Yes,,,,,
29580,5/11/2023,TD Bank N.A.,Electronic,Yes,4,Yes,Yes,,Yes,Yes,,,,,
29581,5/11/2023,"ARC Document Solutions, Inc.",Electronic,Yes,31,Yes,,Yes,,Yes,,,,,
29582,5/11/2023,USAA,Paper,Yes,2,Yes,Yes,,Yes,Yes,,,,,
29583,5/11/2023,Val Verde Unified School District,Electronic,Yes,6,,Yes,,,Yes,,,,,
29584,5/11/2023,"Jeffries Morris, Inc.",Electronic,Yes,11,Yes,,,,Yes,,,,,
29585,5/11/2023,Prescott College,Electronic,Yes,279,Yes,Yes,,,Yes,,,,,
29586,5/11/2023,"InfoMart, Inc.",Electronic,Yes,104,Yes,,,,Yes,,,,,
29587,5/11/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29588,5/11/2023,Rochester Public Schools,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29589,5/11/2023,Hahn Plastics Automation Inc,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29590,5/11/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,Yes,,,,,
29591,5/12/2023,"HF Foods Group, Inc.",Electronic,Yes,6,,Yes,,,Yes,,,,,
29592,5/12/2023,The Lincoln National Life Insurance Company,Electronic,Yes,1,Yes,,,,Yes,,,,,
29593,5/12/2023,Renewal by Andersen LLC,Electronic,Yes,290,Yes,Yes,Yes,Yes,Yes,,,,,
29594,5/12/2023,"TD Bank, N.A.",Electronic,,1133,Yes,Yes,,,Yes,,,,,
29595,5/12/2023,"CommScope Holdings, Inc.",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29596,5/12/2023,Massachusetts General Hospital,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29597,5/12/2023,Retirement Clearinghouse,Electronic,Yes,230,Yes,Yes,,,,,,,,
29598,5/12/2023,Solutran,Electronic,Yes,160,,Yes,,,,,,,,
29599,5/12/2023,Brown & Streza LLP,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29600,5/12/2023,Liberty Lines,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29601,5/12/2023,Uintah Basin Healthcare,Electronic,Yes,72,Yes,,,,Yes,,,,,
29777,5/12/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29602,5/13/2023,BNY Mellon N.A,Electronic,,450,Yes,,,,Yes,,,,,
29603,5/13/2023,Whitworth University,Electronic,Yes,81,Yes,,,,Yes,,,,,
29604,5/15/2023,"American Express Travel Related Services Company, Inc.",Paper,,10,,,,Yes,,,,,,
29605,5/15/2023,Winchester Savings Bank,Electronic,,12,,,,Yes,,,,,,
29606,5/15/2023,Edmonds School District,Electronic,Yes,4,,Yes,,,Yes,,,,,
29607,5/15/2023,"Cycle Express, LLC dba National Powersport Auctions",Electronic,Yes,47,Yes,,Yes,,Yes,,,,,
29610,5/15/2023,R&B Corporation of Virginia d/b/a Credit Control Corporation,Electronic,Yes,110,Yes,,Yes,,Yes,,,,,
29611,5/15/2023,Great Expressions Dental Centers,Electronic,Yes,426,Yes,Yes,Yes,,Yes,,,,,
29612,5/16/2023,Fertility Specialists Medical Group,Electronic,Yes,12,Yes,,,,Yes,,,,,
29613,5/16/2023,"7SIGNAL, Inc.",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29614,5/16/2023,"Fresh Del Monte Produce, Inc.",Electronic,Yes,6,Yes,Yes,Yes,,Yes,,,,,
29615,5/16/2023,"Our Sunday Visitor, Inc.",Electronic,Yes,25,Yes,Yes,,,Yes,,,,,
29616,5/16/2023,Sallie Mae,Paper,,1,,Yes,,,Yes,,,,,
29617,5/16/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29618,5/16/2023,Texas Medical Liabilitry Trust,Electronic,,1,Yes,Yes,Yes,,,,,,,
29619,5/16/2023,Hammond Lumber Company,Electronic,,6,Yes,,Yes,,Yes,,,,,
29620,5/16/2023,Speedway LLC,Electronic,,615,,Yes,,,,,,,,
29650,5/16/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29651,5/16/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29609,5/16/2023,"American Express Travel Related Services Company, Inc.",Electronic,,299,,,,Yes,,,,,,
29647,5/16/2023,University of Hawaii Maui College,Electronic,Yes,16,Yes,,,,Yes,,,,,
29627,5/17/2023,"HealthPlan Services, Inc.",Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
29628,5/17/2023,"Puma Biotechnology, Inc.",Electronic,Yes,30,Yes,Yes,Yes,,Yes,,,,,
29629,5/17/2023,Police and Fire Federal Credit Union,Paper,,1,,Yes,,,,,,,,
29630,5/17/2023,"JAKKS Pacific, Inc.",Electronic,Yes,2,Yes,,,,Yes,,,,,
29631,5/17/2023,Village Bank,Electronic,Yes,9,Yes,Yes,,,Yes,,,,,
29632,5/17/2023,"DISH Network, LLC",Electronic,Yes,1429,,Yes,Yes,Yes,Yes,,,,,
29633,5/17/2023,"Brightline, Inc.",Electronic,,9,,,,,Yes,,,,,
29608,5/17/2023,Sysco Corporation,Electronic,Yes,1613,Yes,Yes,,,Yes,,,,,
29621,5/17/2023,"Osiac (formally Advisor Group Holdings, Inc.)",Electronic,,1430,Yes,Yes,,,Yes,,,,,
29623,5/17/2023,Tower Fasteners LLC,Electronic,Yes,1,Yes,,,,Yes,,,,,
29624,5/18/2023,"Adventist Media Center d/b/a ""It Is Written""",Electronic,Yes,3,,,,Yes,,,,,,
29625,5/18/2023,Clarke County Hospital,Electronic,Yes,2,Yes,,Yes,,Yes,,,,,
29658,5/18/2023,"Maynard Select, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
29652,5/18/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29634,5/18/2023,Incom Inc.,Electronic,Yes,68,Yes,Yes,Yes,,Yes,,,,,
29635,5/18/2023,Brigham and Women's Hospital,Paper,Yes,1,,,Yes,,,,,,,
29636,5/18/2023,Clarke County Hospital,Electronic,Yes,2,Yes,,Yes,,Yes,,,,,
29637,5/18/2023,Levi Strauss & Co.,Electronic,Yes,1,,,,Yes,,,,,,
29638,5/18/2023,Timber Products Inspection Inc,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
29648,5/18/2023,The Commonwealth of Massachusetts Executive Office of Health and Human Services,Electronic,Yes,1,,,,,,,,,,
29649,5/19/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29639,5/19/2023,"e-Hazard Management, LLC",Electronic,Yes,4,Yes,Yes,Yes,,Yes,,,,,
29640,5/19/2023,Summit Eye & Optical,Electronic,Yes,35,,,,,Yes,,,,,
29641,5/19/2023,The Swatch Group U.S. Inc,Electronic,,5,,,,Yes,,,,,,
29642,5/19/2023,"Institute for Human Resources and Services, Inc.",Electronic,Yes,9,Yes,,,,Yes,,,,,
29643,5/19/2023,WINCHESTER SAVINGS BANK,Electronic,,6,,,,Yes,,,,,,
29644,5/19/2023,Department of Unemployment Assistance,Both,Yes,1,Yes,Yes,Yes,,Yes,,,,,
29626,5/19/2023,United Steelworkers Local 286,Electronic,Yes,74,Yes,Yes,Yes,,Yes,,,,,
29662,5/22/2023,"Pioneer Valley Ophthalmic Consultants, PC",Electronic,Yes,33875,Yes,Yes,,Yes,Yes,,,,,
29663,5/22/2023,Apria Healthcare LLC,Electronic,Yes,24429,Yes,Yes,Yes,Yes,Yes,,,,,
29653,5/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29654,5/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29655,5/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29656,5/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29657,5/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29645,5/22/2023,Polished.com,Electronic,Yes,261,,,,Yes,,,,,,
29646,5/22/2023,Mortgage Industry Advisory Corporation,Electronic,Yes,69,Yes,,,,Yes,,,,,
29622,5/23/2023,"Populus Financial Group, Inc.",Electronic,,3,Yes,Yes,,,Yes,,,,,
29664,5/23/2023,"NCB Management Services, Inc.",Electronic,Yes,9893,Yes,Yes,Yes,Yes,Yes,,,,,
29665,5/23/2023,General Wax and Candle Company,Electronic,Yes,1,,,,Yes,,,,,,
29666,5/23/2023,California Association of Marriage and Family Therapists,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29659,5/23/2023,"Timber Products Inspection, Inc.",Electronic,,1,Yes,Yes,Yes,,Yes,,,,,
29660,5/23/2023,Massachusetts Office of the Attorney General,Paper,Yes,7,Yes,,,Yes,Yes,,,,,
29661,5/23/2023,"Bread Financial Payments, Inc.",Both,,3993,,Yes,,,Yes,,,,,
29667,5/24/2023,Sunder Energy,Electronic,,26,Yes,Yes,Yes,,Yes,,,,,
29672,5/24/2023,Triad Business Bank,Electronic,Yes,11,Yes,,,,Yes,,,,,
